variant,revenue,pre_revenue,page_load_ms,support_ticket
control,26.45,22.13,1039.6,0
control,36.87,29.29,945.4,0
control,36.75,23.3,990.1,0
control,33.43,36.44,803.3,0
control,18.92,51.78,889.9,0
control,72.67,46.17,997.7,0
control,49.38,79.54,829.0,0
control,39.94,4.21,977.2,0
control,57.64,52.45,958.7,0
control,52.48,44.12,922.0,0
control,48.96,58.68,873.7,0
control,56.33,56.9,821.1,0
control,46.41,41.03,1042.0,0
control,56.06,47.11,950.5,0
control,57.56,30.61,927.2,0
control,46.93,55.05,867.0,0
control,40.03,10.18,903.0,0
control,71.55,57.98,913.2,0
control,35.4,43.58,932.0,0
control,51.04,35.23,958.7,0
control,51.45,39.81,837.4,0
control,33.03,41.13,782.7,0
control,29.46,67.35,906.7,0
control,37.63,102.2,760.2,0
control,35.14,65.96,874.1,0
control,17.75,33.82,859.3,0
control,32.27,55.34,939.3,0
control,48.79,56.12,1058.6,0
control,66.79,27.35,744.4,0
control,53.98,21.31,1081.9,0
control,-2.79,42.86,881.4,0
control,55.54,58.54,927.8,0
control,33.95,14.99,786.8,0
control,52.16,31.02,979.7,0
control,43.75,54.31,903.3,0
control,40.53,44.75,895.1,0
control,42.16,69.49,745.0,1
control,43.6,18.6,905.9,0
control,68.2,86.34,967.7,0
control,43.65,16.32,881.1,0
control,63.54,7.48,993.9,0
control,60.92,42.94,990.6,0
control,56.01,23.58,848.7,0
control,11.84,43.3,1027.6,0
control,64.1,42.67,903.6,0
control,35.76,40.48,904.0,0
control,56.88,28.84,907.9,0
control,26.49,51.79,905.5,0
control,22.67,38.29,689.6,0
control,79.57,63.87,885.2,0
control,26.77,40.75,790.9,0
control,64.63,26.64,1030.1,0
control,46.13,13.62,1026.9,0
control,36.44,40.9,968.2,0
control,43.19,21.15,880.9,0
control,20.58,19.7,819.4,0
control,43.75,53.49,847.4,0
control,24.51,12.0,1055.4,0
control,36.88,69.42,844.6,0
control,60.66,46.87,711.6,0
control,48.58,43.21,982.4,1
control,17.32,25.37,1020.0,0
control,59.33,57.76,1032.7,0
control,43.87,43.95,983.1,0
control,34.24,31.65,996.1,0
control,57.44,47.6,904.2,0
control,40.99,13.71,733.9,0
control,23.02,14.56,902.2,0
control,77.26,23.84,949.7,0
control,43.69,50.29,889.2,0
control,42.54,43.94,885.5,0
control,36.71,62.88,822.9,0
control,65.24,27.44,819.9,0
control,34.55,54.34,1047.1,0
control,16.19,41.95,1049.9,0
control,31.78,27.03,899.8,0
control,67.88,50.94,922.5,0
control,58.98,42.81,821.5,0
control,39.41,32.68,951.4,0
control,68.72,44.76,1040.8,0
control,57.46,41.67,777.7,0
control,39.2,41.23,937.1,0
control,41.01,36.57,943.1,0
control,49.93,20.51,942.2,0
control,29.03,45.35,1031.4,0
control,44.08,29.55,1062.9,0
control,49.55,25.63,881.3,0
control,13.63,39.67,953.9,0
control,40.59,57.21,906.7,0
control,38.54,47.34,849.4,0
control,62.51,34.44,921.7,0
control,10.8,33.72,953.7,0
control,37.13,55.44,917.4,0
control,35.33,0.86,829.5,0
control,61.28,58.35,862.9,0
control,43.22,10.27,863.5,0
control,76.33,18.52,832.6,0
control,55.92,34.74,925.1,0
control,36.62,83.06,933.4,0
control,48.31,74.19,978.4,0
control,37.63,56.72,831.4,0
control,59.47,50.42,853.8,0
control,20.02,10.48,1024.4,0
control,29.17,46.82,886.8,0
control,52.2,34.11,902.4,0
control,66.06,29.3,886.0,0
control,4.36,46.79,990.6,0
control,68.74,35.52,993.7,0
control,41.48,59.65,989.1,0
control,10.09,9.15,902.1,0
control,-10.03,45.35,830.2,0
control,16.47,28.18,1054.0,0
control,43.65,36.63,968.5,0
control,42.81,49.48,863.5,0
control,55.4,23.89,1013.9,1
control,34.11,46.96,857.2,0
control,24.06,40.18,1012.9,0
control,36.56,32.11,1018.3,0
control,44.6,35.53,826.3,0
control,48.15,41.22,946.5,0
control,29.8,30.18,962.6,0
control,60.23,44.13,1109.2,0
control,32.81,38.99,840.6,0
control,28.35,33.0,1014.6,0
control,34.24,72.62,901.4,0
control,63.35,51.47,800.7,0
control,41.61,37.11,890.4,0
control,31.5,46.63,900.2,0
control,60.67,25.52,815.3,0
control,82.57,36.14,925.0,0
control,47.77,38.24,976.6,0
control,66.21,21.56,919.1,0
control,62.65,50.97,856.7,0
control,33.1,34.9,888.1,0
control,44.48,37.6,899.6,0
control,20.91,33.76,917.4,0
control,40.31,97.26,988.8,0
control,32.73,32.07,921.8,0
control,36.75,6.76,787.8,0
control,30.5,15.2,855.0,0
control,38.83,57.67,913.3,0
control,53.58,68.06,989.9,1
control,41.85,31.73,1003.8,1
control,10.44,67.02,1042.0,0
control,30.57,57.35,910.4,0
