variant,revenue,pre_revenue,page_load_ms,support_ticket
control,29.26,55.97,869.8,0
control,53.67,19.2,755.6,0
control,27.85,22.95,952.6,0
control,38.08,-0.57,971.7,0
control,45.93,41.58,975.3,0
control,32.44,30.09,939.1,0
control,35.15,27.74,977.4,0
control,71.63,50.02,773.9,0
control,40.32,36.34,891.4,0
control,37.53,18.2,786.8,0
control,40.85,89.81,871.3,0
control,52.18,43.33,1029.3,0
control,25.39,24.5,987.5,0
control,51.69,31.94,953.0,0
control,48.6,40.88,885.5,0
control,11.8,40.85,820.5,0
control,76.3,67.44,915.0,0
control,70.29,42.57,988.9,0
control,29.59,77.39,932.8,0
control,23.8,36.22,773.1,0
control,48.1,51.68,908.4,0
control,18.33,62.4,746.9,0
control,68.56,65.51,964.3,0
control,35.57,67.61,844.6,0
control,73.19,39.1,802.2,0
control,29.16,43.9,965.4,0
control,41.98,-0.63,944.8,0
control,66.81,40.47,918.6,0
control,38.18,63.64,1075.3,0
control,48.9,60.14,950.8,0
control,63.67,42.44,848.4,0
control,33.99,74.58,941.5,0
control,21.29,37.09,877.1,0
control,17.74,31.11,1001.3,0
control,54.5,35.57,922.5,0
control,51.0,23.8,930.4,0
control,63.11,55.2,784.6,0
control,39.07,49.19,904.9,0
control,18.25,54.98,895.5,0
control,1.65,36.54,818.1,0
control,95.62,42.95,882.3,0
control,53.48,4.79,934.9,0
control,46.46,50.77,899.7,0
control,49.02,45.78,787.0,0
control,18.24,24.19,878.1,0
control,29.69,42.12,862.6,1
control,75.38,39.36,915.5,0
control,55.85,75.76,906.8,0
control,30.26,24.9,867.1,0
control,21.92,49.97,863.9,0
control,34.72,24.37,905.4,0
control,38.32,33.96,977.0,0
control,80.88,48.98,922.3,0
control,40.61,40.2,1013.8,0
control,22.59,43.89,990.7,0
control,42.95,49.99,1019.7,0
control,48.76,35.11,1009.5,0
control,20.95,59.91,1025.0,0
control,51.24,38.5,807.7,0
control,65.76,42.24,951.8,0
control,46.5,50.5,997.5,1
control,29.65,48.09,1011.9,0
control,34.48,55.6,838.3,0
control,14.14,49.71,952.6,0
control,41.59,52.44,906.0,0
control,49.59,38.14,1047.8,0
control,27.86,24.76,789.0,0
control,78.91,18.3,838.5,0
control,58.26,13.93,755.1,0
control,11.73,75.73,911.6,0
control,12.1,4.17,1081.1,0
control,26.29,65.49,896.5,0
control,72.32,29.22,908.1,0
control,60.04,65.36,944.0,0
control,73.23,4.35,890.7,0
control,44.18,39.77,929.3,1
control,40.23,70.17,931.4,1
control,21.54,56.84,832.4,0
control,50.29,37.93,892.5,0
control,40.47,9.03,959.4,0
control,39.78,20.2,974.3,0
control,73.12,69.0,1003.9,0
control,41.73,37.73,926.8,0
control,67.96,42.71,928.5,0
control,15.41,49.1,960.0,0
control,92.39,20.55,852.4,0
control,37.28,51.33,849.1,0
control,56.73,36.45,890.0,0
control,59.59,49.29,798.0,0
control,35.05,33.6,932.6,0
control,58.74,15.68,983.9,0
control,59.68,36.31,843.2,0
control,31.16,55.53,934.8,0
control,31.38,51.09,849.7,0
control,44.82,44.56,818.7,0
control,41.92,60.17,1064.4,0
control,69.08,40.34,819.8,0
control,56.65,45.01,797.7,1
control,42.73,35.36,917.2,0
control,54.91,61.22,921.5,0
control,7.16,49.25,953.4,0
control,32.92,33.97,1060.1,0
control,49.18,17.2,837.8,0
control,64.08,63.89,853.7,0
control,47.6,30.61,1028.7,0
control,70.25,45.3,975.1,0
control,59.62,86.35,964.0,0
control,35.21,58.43,852.8,0
control,41.48,73.0,990.1,0
control,51.35,34.31,964.3,0
control,35.92,63.28,915.2,0
control,71.56,44.48,853.2,0
control,24.04,50.59,908.5,0
control,49.69,80.38,1031.9,0
control,57.24,38.98,812.5,0
control,38.36,44.35,836.0,0
control,34.3,27.74,849.8,0
control,42.63,59.99,867.1,0
control,58.62,33.91,898.7,0
control,35.0,62.41,976.7,0
control,24.76,14.3,936.9,0
control,64.71,53.88,904.9,0
control,51.19,32.41,922.2,0
control,62.14,57.15,949.9,0
control,57.67,43.76,765.5,0
control,83.24,34.36,985.7,0
control,64.07,37.04,833.9,0
control,30.97,28.69,864.5,0
control,52.46,59.08,927.2,0
control,33.97,25.12,894.0,0
control,35.83,39.19,939.0,0
control,18.57,50.21,911.3,0
control,38.85,73.04,876.9,0
control,53.81,43.83,1022.3,0
control,42.81,39.63,956.6,0
control,24.21,48.93,924.2,0
control,16.59,6.68,955.4,0
control,82.01,22.42,843.6,0
control,49.85,37.24,1074.0,0
control,29.17,31.17,813.0,1
control,52.31,15.19,909.1,0
control,83.41,59.44,877.1,0
control,55.17,48.68,874.0,1
control,-6.17,46.52,863.7,0
control,91.74,31.51,838.3,0
control,10.71,45.43,995.1,0
control,40.29,53.26,803.6,0
control,23.6,39.23,978.7,0
control,30.68,52.0,951.9,0
control,49.12,29.67,869.5,0
control,6.72,45.75,942.6,0
control,42.38,64.56,887.4,0
control,64.65,66.18,811.9,0
control,28.82,67.9,812.8,0
control,18.97,49.14,952.4,0
control,41.49,44.57,948.3,0
control,37.91,35.92,919.4,0
control,33.29,11.47,868.7,0
control,22.61,19.79,884.8,0
control,53.35,40.98,874.0,0
control,54.71,42.05,760.2,0
control,24.82,69.42,904.9,0
control,27.31,67.67,941.8,0
control,46.46,31.64,905.4,1
control,26.63,58.73,1041.5,1
control,47.22,35.41,819.6,0
control,70.42,56.29,847.1,0
control,42.92,58.51,910.6,0
control,22.15,66.36,919.5,0
control,51.06,35.13,747.9,1
control,40.8,62.26,948.2,0
control,41.3,10.29,919.9,0
control,52.56,67.33,730.4,0
control,56.44,43.55,890.7,0
control,44.64,43.93,835.3,1
control,42.91,7.33,863.7,0
control,81.14,37.0,793.0,0
control,65.61,68.4,933.3,0
control,59.0,36.32,1040.9,0
control,46.36,56.84,921.2,0
control,25.9,44.62,727.2,0
control,64.29,63.13,922.8,0
control,46.6,47.45,884.4,0
control,33.61,27.23,811.9,0
control,39.62,45.02,928.3,0
control,26.61,72.82,970.4,0
control,63.03,52.96,846.5,0
control,56.29,41.9,768.5,1
control,47.27,84.6,739.1,0
control,43.23,64.87,846.7,0
control,31.75,58.7,887.6,0
control,5.66,49.71,858.7,0
control,18.57,57.14,845.3,0
control,30.63,57.73,945.4,0
control,27.93,4.71,937.0,0
control,49.21,51.11,916.0,0
control,58.61,41.11,965.3,1
control,41.69,35.0,847.5,0
control,69.36,40.48,812.4,0
control,29.91,15.99,858.2,0
control,41.56,11.52,852.7,0
control,43.08,66.44,735.9,0
control,63.66,52.32,856.4,0
control,45.91,0.57,988.4,0
control,46.4,33.63,964.1,0
control,14.21,59.85,942.0,0
control,27.8,38.96,910.5,0
control,63.73,66.41,1015.9,0
control,6.64,62.9,815.2,0
control,68.17,19.58,822.8,0
control,52.99,41.42,989.9,0
control,30.54,35.93,902.2,0
control,29.02,18.99,846.3,0
control,78.13,17.82,944.2,0
control,69.41,29.49,864.9,0
control,41.85,32.46,833.0,0
control,46.42,49.1,830.8,0
control,32.37,62.8,925.7,0
control,46.43,53.25,916.5,0
control,31.87,57.51,1021.3,0
control,42.59,39.2,876.8,0
control,76.59,54.85,875.4,0
control,42.28,41.33,1015.2,0
control,25.14,36.05,978.9,0
control,19.41,78.15,911.6,0
control,46.29,2.05,775.1,0
control,30.3,10.28,835.1,0
control,48.44,50.89,815.7,0
control,14.85,39.23,902.9,0
control,56.42,18.13,859.3,0
control,24.92,25.02,1028.2,0
control,44.83,27.36,774.3,0
control,37.91,60.06,807.1,0
control,74.93,65.82,919.6,0
control,47.09,73.51,941.7,0
control,79.02,15.4,693.0,1
control,54.09,19.39,761.2,0
control,69.66,18.16,878.9,0
control,40.24,67.2,1008.5,0
control,50.22,51.51,1051.0,0
control,65.94,45.44,866.8,0
control,60.29,48.13,886.3,0
control,53.56,42.98,833.1,0
